========================================================================================================================
QUIMICORP PERU S.A.C. — CATALOGO MAESTRO CONSOLIDADO OFICIAL (INVENTARIO FISICO 2026)
FECHA DE CORTE: 02/09/2026 | ACTUALIZADO: 07/09/2026
ESTANDAR: 281 PRODUCTOS CANONICOS | STOCK FISICO TOTAL SUMADO | ORDEN ALFABETICO (A-Z) POR FAMILIAS
========================================================================================================================

========================================================================================================================
SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS GENERALES (INS-001 AL INS-164)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
---------+----------------------------------------+----------------+----------------------+--------------------------
INS-001  | ACEITE DE ALMENDRAS                    | 6,530 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-002  | ACEITE DE CALENDULA                    | 7,081 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-003  | ACEITE DE JOJOBA                       | 6,123 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-004  | ACEITE DE NEEM                         | 1,924 g        | LIQUIDO              | ACEITES Y ESENCIAS
INS-005  | ACEITE DE RICINO                       | 60,694 g       | LIQUIDO              | ACEITES Y ESENCIAS
INS-006  | ACEITE DE ROMERO                       | 9,935 g        | LIQUIDO              | ACEITES Y ESENCIAS
INS-007  | ACEITE ESENCIAL DE CITRONELA           | 105 g          | LIQUIDO / ESENCIA    | ACEITES Y ESENCIAS
INS-008  | ACEITE ESENCIAL EUCALIPTO              | 1,133 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-009  | ACEITE ESENCIAL LAVANDA                | 9,706 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-010  | ACEITE ESENCIAL MENTA                  | 1,452 g        | ACEITE ESENCIAL (LT) | ACEITES Y ESENCIAS
INS-011  | ACEITE ESENCIAL TEA TREE               | 21,519 g       | LIQUIDO              | ACEITES Y ESENCIAS
INS-012  | ACEITE ROSA MOSQUETA                   | 4,258 g        | ACEITE ESENCIAL      | ACEITES Y ESENCIAS
INS-013  | ACIDO ACETICO                          | 12,686 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-014  | ACIDO ASCORBICO                        | 7,350 g        | POLVO                | ACTIVOS Y ACIDOS
INS-015  | ACIDO BENZOICO                         | 727 g          | POLVO                | ACTIVOS Y ACIDOS
INS-016  | ACIDO BORICO                           | 6,440 g        | POLVO                | ACTIVOS Y ACIDOS
INS-017  | ACIDO CITRICO                          | 17,161 g       | POLVO                | ACTIVOS Y ACIDOS
INS-018  | ACIDO ESTEARICO                        | 75,255 g       | POLVO                | ACTIVOS Y ACIDOS
INS-019  | ACIDO FOSFORICO                        | 446 g          | LIQUIDO              | ACTIVOS Y ACIDOS
INS-020  | ACIDO HIALURONICO                      | 3,642 g        | POLVO                | ACTIVOS Y ACIDOS
INS-021  | ACIDO KOJICO                           | 7,266 g        | POLVO                | ACTIVOS Y ACIDOS
INS-022  | ACIDO LACTICO                          | 10,835 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-023  | ACIDO MANDELICO                        | 1,872 g        | POLVO (USP)          | ACTIVOS Y ACIDOS
INS-024  | ACIDO OLEICO                           | 820 g          | LIQUIDO              | ACTIVOS Y ACIDOS
INS-025  | ACIDO SALICILICO                       | 47,776 g       | POLVO                | ACTIVOS Y ACIDOS
INS-026  | ACIDO SULFONICO                        | 12,028 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-027  | ACIDO TIOGLICOLICO                     | 4,515 g        | LIQUIDO              | ACTIVOS Y ACIDOS
INS-028  | ACIDO UNDECILEICO                      | 285 g          | LIQUIDO              | ACTIVOS Y ACIDOS
INS-029  | ACTICIDE                               | 4,941 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-030  | AGUA DESIONIZADA                       | 364,568 g      | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-031  | AGUA DESTILADA                         | 15,576 g       | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-032  | ALANTOINA                              | 4,110 g        | POLVO                | ACTIVOS Y ACIDOS
INS-033  | ALCANFOR                               | 13,516 g       | POLVO                | ACTIVOS Y ACIDOS
INS-034  | ALCOHOL CETILICO                       | 7,499 g        | GRANO                | EMULSIONANTES Y CERAS
INS-035  | ALCOHOL EXTRA NEUTRO 96%               | 200,000 g      | LIQUIDO (L)          | HUMECTANTES Y SOLVENTES
INS-036  | ALCOHOL ISOPROPILICO                   | 47,870 g       | LIQUIDO (L)          | HUMECTANTES Y SOLVENTES
INS-037  | ALCOHOL LAURICO                        | 200,829 g      | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-038  | ANTIESPUMANTE BLANCO                   | 1,216 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-039  | ANTIESPUMANTE INDUSTRIAL               | 1,893 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-040  | ARCILLA BLANCA                         | 23,660 g       | POLVO                | MINERALES Y CARGAS
INS-041  | AUROL NACARANTE SDS                    | 812 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-042  | BENCINA                                | 22,700 g       | LIQUIDO (L)          | HUMECTANTES Y SOLVENTES
INS-043  | BENZOATO                               | 16,149 g       | POLVO                | CONSERVANTES Y REGULADORES
INS-044  | BETAINA                                | 172,001 g      | LIQUIDO              | TENSOACTIVOS
INS-045  | BICARBONATO FOOD GRADE                 | 18,019 g       | POLVO                | MINERALES Y CARGAS
INS-046  | BIOTINA                                | 984 g          | POLVO                | ACTIVOS Y ACIDOS
INS-047  | BIOTINA 2%                             | 510 g          | POLVO                | ACTIVOS Y ACIDOS
INS-048  | BUTIL (BUTILGLICOL)                    | 24,490 g       | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-049  | CAFEINA                                | 36,600 g       | POLVO                | ACTIVOS Y ACIDOS
INS-050  | CAL                                    | 26,131 g       | POLVO                | MINERALES Y CARGAS
INS-051  | CARBONATO 1000                         | 48,310 g       | POLVO                | MINERALES Y CARGAS
INS-052  | CARBONATO 400                          | 42,247 g       | POLVO                | MINERALES Y CARGAS
INS-053  | CARBOPOL                               | 27,300 g       | POLVO                | ESPESANTES
INS-054  | CELLOSIZE                              | 8,194 g        | POLVO                | ESPESANTES
INS-055  | CERA CARNAUBA                          | 32,900 g       | GRANO                | EMULSIONANTES Y CERAS
INS-056  | CERA DE ABEJA REFINADA (TRANSPARENTE)  | 18,750 g       | BLOQUE               | EMULSIONANTES Y CERAS
INS-057  | CERA DE ABEJA VIRGEN                   | 78,677 g       | BLOQUE               | EMULSIONANTES Y CERAS
INS-058  | CICLOMETICONA                          | 6,321 g        | LIQUIDO / LIQUIDO (1 Litro) | SILICONAS Y EMOLIENTES
INS-059  | CLORHIDRATO DE ALUMINIO                | 25,000 g       | POLVO                | MINERALES Y CARGAS
INS-060  | CLORURO DE BENZALCONIO                 | 1,226 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-061  | CLORURO DE MAGNESIO                    | 17,050 g       | POLVO                | MINERALES Y CARGAS
INS-062  | CMC                                    | 4,243 g        | POLVO                | ESPESANTES
INS-063  | COLAGENO HIDROLIZADO                   | 32,662 g       | POLVO                | ACTIVOS Y ACIDOS
INS-064  | COPERLAND                              | 9,375 g        | POLVO                | TENSOACTIVOS
INS-065  | COUMARINA                              | 3,472 g        | GRANO                | ACTIVOS Y ACIDOS
INS-066  | CURCUMA                                | 3,284 g        | POLVO                | ACTIVOS Y ACIDOS
INS-067  | D-PANTENOL O PANTENOL                  | 13,385 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-068  | DECYL GLUCIDE                          | 12,935 g       | LIQUIDO / PASTA / LIQUIDO | TENSOACTIVOS
INS-069  | DEHYQUART                              | 80,000 g       | LIQUIDO              | TENSOACTIVOS
INS-070  | DIOXIDO DE TITANIO FOOD GRADE          | 23,000 g       | POLVO                | MINERALES Y CARGAS
INS-071  | DIOXIDO DE TITANIO INDUSTRIAL          | 50,000 g       | POLVO                | MINERALES Y CARGAS
INS-072  | DIPROPILENGLICOL                       | 20,000 g       | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-073  | EDTA TETRASODICO                       | 9,404 g        | POLVO                | CONSERVANTES Y REGULADORES
INS-074  | EMULGADE 1000                          | 71,310 g       | GRANO                | EMULSIONANTES Y CERAS
INS-075  | ESPESANTE ACRILICO                     | 4,594 g        | LIQUIDO              | ESPESANTES
INS-076  | ESTABILIZADOR DE PEROXIDO              | 5,829 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-077  | EXTRACTO DE ALOE VERA                  | 20,667 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-078  | EXTRACTO DE CALENDULA                  | 11,280 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-079  | EXTRACTO DE CASTAÑA DE INDIAS          | 12,156 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-080  | EXTRACTO DE CENTELLA ASIATICA          | 11,671 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-081  | EXTRACTO DE GINSENG                    | 6,173 g        | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-082  | EXTRACTO DE HAMAMELIS                  | 14,871 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-083  | EXTRACTO DE JENGIBRE                   | 16,001 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-084  | EXTRACTO DE MANZANILLA                 | 12,182 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-085  | EXTRACTO DE ORTIGA                     | 8,991 g        | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-086  | EXTRACTO DE ROMERO                     | 11,755 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-087  | EXTRACTO NATURAL DE ARNICA             | 9,736 g        | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-088  | EXTRACTO NATURAL DE AVENA              | 10,945 g       | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-089  | EXTRACTO TE VERDE                      | 9,882 g        | EXTRACTO LIQUIDO     | EXTRACTOS NATURALES
INS-090  | EXXOL                                  | 1,754 g        | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-091  | FENOXIETANOL                           | 1,000 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-092  | FIPRONIL                               | 1,000 g        | ACTIVO (POLVO)       | ACTIVOS Y ACIDOS
INS-093  | FORMOL                                 | 2,928 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-094  | GALAXOLIDE                             | 3,147 g        | LIQUIDO              | ACTIVOS Y ACIDOS
INS-095  | GLICERINA                              | 8,210 g        | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-096  | GLUCONATO                              | 1,988 g        | POLVO                | ACTIVOS Y ACIDOS
INS-097  | GLUCONATO DE CLORHEXIDINA              | 278 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-098  | GOMA XANTANA                           | 2,250 g        | POLVO                | ESPESANTES
INS-099  | HIPOCLORITO DE SODIO                   | 873 g          | POLVO                | ACTIVOS Y ACIDOS
INS-100  | IMPERMEABILIZANTE                      | 197,637 g      | LIQUIDO              | ACTIVOS Y ACIDOS
INS-101  | ISOPROPILO DE MIRISTATO                | 498,792 g      | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-102  | KETOCONAZOL                            | 398 g          | POLVO                | ACTIVOS Y ACIDOS
INS-103  | KION EN POLVO                          | 12,800 g       | POLVO                | ACTIVOS Y ACIDOS
INS-104  | LACA CSP                               | 1,489 g        | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-105  | LAURIL SULFATO DE SODIO (96%)          | 245 g          | POLVO                | TENSOACTIVOS
INS-106  | LIDOCAINA HCL                          | 11,064 g       | POLVO                | ACTIVOS Y ACIDOS
INS-107  | MANTECA DE KARITE                      | 62,850 g       | BLOQUE               | SILICONAS Y EMOLIENTES
INS-108  | MAQBLEND                               | 845 g          | LIQUIDO              | ACTIVOS Y ACIDOS
INS-109  | MECELLOSE                              | 25,837 g       | POLVO                | ESPESANTES
INS-110  | MENTOL CRISTAL                         | 13,913 g       | CRISTAL              | ACTIVOS Y ACIDOS
INS-111  | MINOXIDIL                              | 7,286 g        | POLVO                | ACTIVOS Y ACIDOS
INS-112  | MONO (MONOPROPILENGLICOL)              | 9,930 g        | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-113  | NEUTRADOR ALCOHOL                      | 203 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-114  | NEUTRADOR AMONIACO                     | 307 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-115  | NEUTRADOR FRESCURA AMARILLA            | 295 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-116  | NEUTRADOR FRESCURA NARANJA             | 313 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-117  | NEUTRADOR MASCOTAS                     | 305 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-118  | NEUTRADOR NEW B.                       | 300 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
